when, where, who, what, hours, stage
2024-12-21, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-22, home, daddy, REP, 0.5, 
2024-12-23, home, daddy, REP, 0.5, 
2024-12-24, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-24, home, daddy, REP, 0.5, 
2024-12-25, home, daddy, REP, 0.5, 
2024-12-26, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-26, home, daddy, REP, 0.5, 
2024-12-27, home, daddy, REP, 0.5, 
2024-12-28, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-28, home, daddy, REP, 0.5, 
2024-12-29, home, daddy, REP, 0.5, 
2024-12-30, home, daddy, REP, 0.5, 
2024-12-31, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-31, home, daddy, REP, 0.5, 
2025-01-01, home, daddy, REP, 0.5, 
2025-01-02, grape seed, daniel Hannah, TSI REP, 1.5,
2025-01-02, home, daddy, REP, 0.5, 
2025-01-03, home, daddy, REP, 0.5, 
2025-01-04, grape seed, daniel Hannah, TSI REP, 1.5,
2025-01-04, home, daddy, REP, 0.5, 
2025-01-05, home, daddy, REP, 0.5, 
2025-01-06, home, daddy, REP, 0.5, 

